ecotypeid,cadmium_conc
7252,0.69225
6847,0.71729
8329,1.03291
7123,1.23758
7000,1.10180
6928,0.70090
8274,1.08745
7206,1.00806
15,1.12214
7382,1.36311
7069,0.75528
6951,1.46900
7062,0.75209
8300,1.30442
8311,1.06365
6100,1.07967
8314,1.44225
6958,1.07997
81,0.89102
6203,0.69150
7092,1.03881
7525,1.23461
8215,0.70266
8351,0.91063
6318,1.18684
7460,1.39786
8412,1.31306
8323,1.40441
7300,1.44842
2,0.66734
6913,1.24209
6924,1.24261
8284,1.33791
6933,1.29323
7571,0.99130
6124,1.59040
7307,0.73336
5805,0.97276
7102,0.80649
8796,1.09330
374,0.91829
7128,1.27763
2187,1.20539
7379,0.81722
6916,0.82220
5729,1.08743
259,1.09501
7490,1.27735
7424,1.45424
267,1.23173
7504,0.99034
7229,1.20827
8692,1.39802
6979,0.96375
8343,1.03071
7098,0.69325
379,0.85833
6985,1.37068
7351,1.37422
6085,1.22050
6976,1.26018
6188,1.30049
6919,1.33924
7438,1.41345
7166,0.90185
6243,1.27779
7080,1.20272
8420,1.22731
260,0.74462
6005,1.54146
7320,0.86374
7449,1.40375
1,0.90011
6926,0.80802
7035,1.50149
6990,0.87562
7296,1.19277
6973,1.36123
7011,1.26667
6413,0.96165
5837,1.46489
7100,1.00655
8275,1.22800
7284,1.41663
8422,0.98913
6937,0.97109
7522,1.05634
7227,0.98875
8222,1.27408
96,1.12863
8310,1.10734
6727,0.89755
258,1.03628
7354,1.26422
4802,1.64381
6020,1.06750
7418,1.24630
7150,1.13033
7277,1.16567
5116,1.91260
8306,0.88604
8213,1.08736
5887,1.23946
5628,1.11285
390,0.81751
386,0.84038
8326,1.22009
8389,1.42759
8365,1.22565
7199,0.72264
6899,0.77939
7231,1.20900
7008,0.82012
286,0.87246
8424,0.85186
7075,1.12498
6953,1.08935
6448,0.89493
6988,0.88383
5341,1.04762
66,0.93386
6202,1.36608
2274,1.03639
4997,1.25938
6932,1.17574
5202,0.97663
7390,0.96771
6194,1.23114
6944,0.72392
7523,1.05995
7492,1.53786
5832,1.48068
126,0.72772
7026,0.85236
641,0.85741
6943,0.91996
8235,1.18355
373,0.88233
23,0.86174
7280,1.79954
7498,1.06212
7515,0.99309
7430,1.60051
7014,1.06801
8419,1.37691
7446,0.52003
6730,0.97481
7255,0.80379
7477,0.90456
8256,1.31984
7143,1.01742
6907,0.77949
149,1.05198
6897,0.95868
7105,1.25302
7337,1.46646
6959,0.92358
5753,1.24326
1859,1.20327
7163,1.33686
242,0.99759
6911,1.13340
6946,1.11075
7244,1.26024
7270,1.55925
6190,1.31553
1967,0.79917
5889,1.23045
6112,0.93931
7186,1.16670
7508,0.90527
6019,1.34495
8376,1.05010
378,0.99958
8354,1.25931
7094,0.74641
7201,1.51701
8296,1.22922
8374,1.34301
6921,1.43285
6967,0.96928
7316,1.10256
6942,1.17032
7139,0.78496
7181,1.54268
223,0.89683
8297,0.96902
6898,0.98048
6169,1.06696
2290,0.91892
5056,1.61543
7169,0.73857
6008,1.46168
366,0.79671
6989,0.85507
6962,0.90464
7340,1.46862
5232,1.68865
6914,0.93609
321,0.65597
362,0.74433
6968,1.08506
2150,1.56763
91,1.11971
6994,0.68881
8335,1.21146
7078,0.92296
7479,1.20250
7258,1.24853
8244,0.96704
2057,1.00477
392,0.84716
5742,1.54495
7178,0.92124
6982,1.43602
7110,1.50806
7408,0.95981
7392,0.92211
116,1.16374
7330,0.96592
6042,1.28854
7355,1.11662
6074,0.89559
8378,1.08950
8265,1.28560
380,0.73985
6242,1.18462
7260,1.31219
5158,0.95312
7520,1.22898
7056,0.79446
5381,0.73679
7071,1.14000
7516,1.27072
5606,0.70592
7394,1.83696
357,0.76541
8236,1.60533
8325,0.80026
7275,1.07426
7378,0.73714
957,1.10847
7147,1.08566
1925,1.21932
7306,0.99557
166,1.03747
7502,1.03457
6940,1.20488
7002,1.18988
7224,1.19852
6909,1.13412
7343,1.22338
7188,1.56508
7310,1.29565
6449,1.35320
6970,1.18275
6977,1.23811
7405,1.33998
8610,1.42066
7344,0.70213
5160,0.88357
7518,0.77958
8387,1.30030
8283,1.17138
6939,0.95817
6983,1.38948
1716,1.58563
8246,1.14793
6906,1.28678
94,0.81034
6039,1.07139
6109,1.35302
5380,0.67055
7373,1.23786
7333,1.35702
6729,0.84062
6936,0.94663
7507,1.02358
6119,0.81080
6810,1.20569
328,1.64047
6903,1.28288
7205,1.09263
6098,1.14749
8240,1.05841
5565,1.33218
5896,1.53200
7331,1.66923
7472,1.10315
7126,1.26494
5987,1.20238
6076,0.75238
6996,1.33704
7521,0.77431
6046,1.17669
6094,0.69668
7135,1.50773
6974,0.88983
333,0.85739
7151,1.41642
8353,1.33808
6992,1.01223
7263,0.97555
7031,1.30780
7158,0.88752
173,1.97159
7384,1.17375
5785,0.84754
7372,1.44020
8264,1.26290
8242,1.26377
6980,1.60368
5245,0.96582
7346,1.42517
8239,1.27711
8234,1.26581
7391,0.86519
6096,0.80626
282,0.92311
5264,0.80649
5122,1.21039
7004,0.96582
8214,1.14740
8271,1.29530
78,0.72468
6709,0.93037
6904,1.13165
8430,1.32540
8304,1.22743
178,1.14435
8231,0.78500
6744,0.62653
6905,0.94440
7165,1.09234
7141,1.34190
7291,1.52821
1867,0.98501
6910,1.34102
7411,0.90010
7397,0.85312
8241,1.24771
281,1.31475
5207,1.01930
383,1.15729
7483,0.96721
6961,1.00857
7282,1.30587
7145,0.93337
7514,1.41585
7482,1.29425
7506,1.63750
